Driver,Body,Tires,WG,AC,ON,OF,MT,SL,SW,SA,SG,TL,TW,TA,TG
Bowser,Teddy Buggy,GLA Tires GLA Wheels,4.25,3.0,3.75,2.75,3.25,4.25,4.5,4.5,5.0,2.5,2.0,2.25,2.5
Bowser,Teddy Buggy,Triforce Tires Triforce Tyres,4.5,2.75,4.0,3.0,2.75,4.5,4.75,4.5,4.5,2.0,1.5,2.0,2.25
Bowser,Teddy Buggy,Leaf Tires Leaf Tyres,3.75,3.25,3.5,2.25,3.5,4.0,4.25,4.5,4.75,2.5,2.0,2.5,2.25
Bowser,Teddy Buggy,Ancient Tires Ancient Tyres,4.75,2.5,4.0,3.25,3.0,4.25,4.25,4.5,4.5,1.75,1.5,1.5,2.0
Bowser,GLA,Standard Normal,4.75,1.75,3.25,3.25,2.0,5.0,4.5,4.5,4.25,1.5,1.75,1.75,1.5
Bowser,GLA,Monster,5.25,1.25,3.5,3.75,1.75,5.0,4.25,4.5,3.75,0.75,1.25,1.0,1.0
Bowser,GLA,Roller,4.25,2.25,2.75,3.0,2.5,4.5,4.5,4.0,4.25,1.75,2.0,2.0,1.75
Bowser,GLA,Slim,4.75,1.25,3.75,2.25,1.75,5.25,4.25,5.0,4.0,1.75,2.0,1.75,1.75
Bowser,GLA,Slick,5.0,1.0,3.75,2.0,1.25,5.5,3.75,5.0,3.5,1.25,1.0,1.5,1.0
Bowser,GLA,Metal,5.25,0.75,3.0,2.5,1.25,5.5,4.5,4.25,4.0,1.25,1.5,1.25,0.75
Bowser,GLA,Button,4.25,2.0,3.0,2.75,2.25,4.75,4.25,4.5,4.0,1.5,1.75,2.0,1.25
Bowser,GLA,Off-Road,5.0,1.5,3.5,3.5,1.5,5.25,4.75,4.5,3.75,1.0,1.25,1.5,1.25
Bowser,GLA,Sponge,4.5,1.75,3.25,3.5,2.25,4.75,4.0,4.25,4.5,1.25,1.25,1.5,1.5
Bowser,GLA,Wood Wooden,4.75,1.25,3.75,2.25,1.75,5.25,4.25,5.0,4.0,1.75,2.0,1.75,1.75
Bowser,GLA,Cushion,4.5,1.75,3.25,3.5,2.25,4.75,4.0,4.25,4.5,1.25,1.25,1.5,1.5
Bowser,GLA,Blue Standard Normal Blue,4.75,1.75,3.25,3.25,2.0,5.0,4.5,4.5,4.25,1.5,1.75,1.75,1.5
Bowser,GLA,Hot Monster Funky Monster,5.25,1.25,3.5,3.75,1.75,5.0,4.25,4.5,3.75,0.75,1.25,1.0,1.0
Bowser,GLA,Azure Roller,4.25,2.25,2.75,3.0,2.5,4.5,4.5,4.0,4.25,1.75,2.0,2.0,1.75
Bowser,GLA,Crimson Slim,4.75,1.25,3.75,2.25,1.75,5.25,4.25,5.0,4.0,1.75,2.0,1.75,1.75
Bowser,GLA,Cyber Slick,5.0,1.0,3.75,2.0,1.25,5.5,3.75,5.0,3.5,1.25,1.0,1.5,1.0
Bowser,GLA,Retro Off-Road,5.0,1.5,3.5,3.5,1.5,5.25,4.75,4.5,3.75,1.0,1.25,1.5,1.25
Bowser,GLA,Gold Tires Gold Wheels,5.25,0.75,3.0,2.5,1.25,5.5,4.5,4.25,4.0,1.25,1.5,1.25,0.75
Bowser,GLA,GLA Tires GLA Wheels,4.75,1.75,3.25,3.25,2.0,5.0,4.5,4.5,4.25,1.5,1.75,1.75,1.5
Bowser,GLA,Triforce Tires Triforce Tyres,5.0,1.5,3.5,3.5,1.5,5.25,4.75,4.5,3.75,1.0,1.25,1.5,1.25
Bowser,GLA,Leaf Tires Leaf Tyres,4.25,2.0,3.0,2.75,2.25,4.75,4.25,4.5,4.0,1.5,1.75,2.0,1.25
Bowser,GLA,Ancient Tires Ancient Tyres,5.25,1.25,3.5,3.75,1.75,5.0,4.25,4.5,3.75,0.75,1.25,1.0,1.0
Bowser,W 25 Silver Arrow,Standard Normal,4.0,3.0,3.5,3.25,3.0,4.25,4.5,4.75,4.75,2.5,2.25,2.5,2.25
Bowser,W 25 Silver Arrow,Monster,4.5,2.5,3.75,3.75,2.75,4.25,4.25,4.75,4.25,1.75,1.75,1.75,1.75
Bowser,W 25 Silver Arrow,Roller,3.5,3.5,3.0,3.0,3.5,3.75,4.5,4.25,4.75,2.75,2.5,2.75,2.5
Bowser,W 25 Silver Arrow,Slim,4.0,2.5,4.0,2.25,2.75,4.5,4.25,5.25,4.5,2.75,2.5,2.5,2.5
Bowser,W 25 Silver Arrow,Slick,4.25,2.25,4.0,2.0,2.25,4.75,3.75,5.25,4.0,2.25,1.5,2.25,1.75
Bowser,W 25 Silver Arrow,Metal,4.5,2.0,3.25,2.5,2.25,4.75,4.5,4.5,4.5,2.25,2.0,2.0,1.5
Bowser,W 25 Silver Arrow,Button,3.5,3.25,3.25,2.75,3.25,4.0,4.25,4.75,4.5,2.5,2.25,2.75,2.0
Bowser,W 25 Silver Arrow,Off-Road,4.25,2.75,3.75,3.5,2.5,4.5,4.75,4.75,4.25,2.0,1.75,2.25,2.0
Bowser,W 25 Silver Arrow,Sponge,3.75,3.0,3.5,3.5,3.25,4.0,4.0,4.5,5.0,2.25,1.75,2.25,2.25
Bowser,W 25 Silver Arrow,Wood Wooden,4.0,2.5,4.0,2.25,2.75,4.5,4.25,5.25,4.5,2.75,2.5,2.5,2.5
Bowser,W 25 Silver Arrow,Cushion,3.75,3.0,3.5,3.5,3.25,4.0,4.0,4.5,5.0,2.25,1.75,2.25,2.25
Bowser,W 25 Silver Arrow,Blue Standard Normal Blue,4.0,3.0,3.5,3.25,3.0,4.25,4.5,4.75,4.75,2.5,2.25,2.5,2.25
Bowser,W 25 Silver Arrow,Hot Monster Funky Monster,4.5,2.5,3.75,3.75,2.75,4.25,4.25,4.75,4.25,1.75,1.75,1.75,1.75
Bowser,W 25 Silver Arrow,Azure Roller,3.5,3.5,3.0,3.0,3.5,3.75,4.5,4.25,4.75,2.75,2.5,2.75,2.5
Bowser,W 25 Silver Arrow,Crimson Slim,4.0,2.5,4.0,2.25,2.75,4.5,4.25,5.25,4.5,2.75,2.5,2.5,2.5
Bowser,W 25 Silver Arrow,Cyber Slick,4.25,2.25,4.0,2.0,2.25,4.75,3.75,5.25,4.0,2.25,1.5,2.25,1.75
Bowser,W 25 Silver Arrow,Retro Off-Road,4.25,2.75,3.75,3.5,2.5,4.5,4.75,4.75,4.25,2.0,1.75,2.25,2.0
Bowser,W 25 Silver Arrow,Gold Tires Gold Wheels,4.5,2.0,3.25,2.5,2.25,4.75,4.5,4.5,4.5,2.25,2.0,2.0,1.5
Bowser,W 25 Silver Arrow,GLA Tires GLA Wheels,4.0,3.0,3.5,3.25,3.0,4.25,4.5,4.75,4.75,2.5,2.25,2.5,2.25
Bowser,W 25 Silver Arrow,Triforce Tires Triforce Tyres,4.25,2.75,3.75,3.5,2.5,4.5,4.75,4.75,4.25,2.0,1.75,2.25,2.0
Bowser,W 25 Silver Arrow,Leaf Tires Leaf Tyres,3.5,3.25,3.25,2.75,3.25,4.0,4.25,4.75,4.5,2.5,2.25,2.75,2.0
Bowser,W 25 Silver Arrow,Ancient Tires Ancient Tyres,4.5,2.5,3.75,3.75,2.75,4.25,4.25,4.75,4.25,1.75,1.75,1.75,1.75
Bowser,300 SL Roadster,Standard Normal,4.25,2.75,3.5,2.75,3.0,4.5,4.75,4.5,4.75,2.25,2.0,2.25,2.25
Bowser,300 SL Roadster,Monster,4.75,2.25,3.75,3.25,2.75,4.5,4.5,4.5,4.25,1.5,1.5,1.5,1.75
Bowser,300 SL Roadster,Roller,3.75,3.25,3.0,2.5,3.5,4.0,4.75,4.0,4.75,2.5,2.25,2.5,2.5
Bowser,300 SL Roadster,Slim,4.25,2.25,4.0,1.75,2.75,4.75,4.5,5.0,4.5,2.5,2.25,2.25,2.5
Bowser,300 SL Roadster,Slick,4.5,2.0,4.0,1.5,2.25,5.0,4.0,5.0,4.0,2.0,1.25,2.0,1.75
Bowser,300 SL Roadster,Metal,4.75,1.75,3.25,2.0,2.25,5.0,4.75,4.25,4.5,2.0,1.75,1.75,1.5
Bowser,300 SL Roadster,Button,3.75,3.0,3.25,2.25,3.25,4.25,4.5,4.5,4.5,2.25,2.0,2.5,2.0
Bowser,300 SL Roadster,Off-Road,4.5,2.5,3.75,3.0,2.5,4.75,5.0,4.5,4.25,1.75,1.5,2.0,2.0
Bowser,300 SL Roadster,Sponge,4.0,2.75,3.5,3.0,3.25,4.25,4.25,4.25,5.0,2.0,1.5,2.0,2.25
Bowser,300 SL Roadster,Wood Wooden,4.25,2.25,4.0,1.75,2.75,4.75,4.5,5.0,4.5,2.5,2.25,2.25,2.5
Bowser,300 SL Roadster,Cushion,4.0,2.75,3.5,3.0,3.25,4.25,4.25,4.25,5.0,2.0,1.5,2.0,2.25
Bowser,300 SL Roadster,Blue Standard Normal Blue,4.25,2.75,3.5,2.75,3.0,4.5,4.75,4.5,4.75,2.25,2.0,2.25,2.25
Bowser,300 SL Roadster,Hot Monster Funky Monster,4.75,2.25,3.75,3.25,2.75,4.5,4.5,4.5,4.25,1.5,1.5,1.5,1.75
Bowser,300 SL Roadster,Azure Roller,3.75,3.25,3.0,2.5,3.5,4.0,4.75,4.0,4.75,2.5,2.25,2.5,2.5
Bowser,300 SL Roadster,Crimson Slim,4.25,2.25,4.0,1.75,2.75,4.75,4.5,5.0,4.5,2.5,2.25,2.25,2.5
Bowser,300 SL Roadster,Cyber Slick,4.5,2.0,4.0,1.5,2.25,5.0,4.0,5.0,4.0,2.0,1.25,2.0,1.75
Bowser,300 SL Roadster,Retro Off-Road,4.5,2.5,3.75,3.0,2.5,4.75,5.0,4.5,4.25,1.75,1.5,2.0,2.0
Bowser,300 SL Roadster,Gold Tires Gold Wheels,4.75,1.75,3.25,2.0,2.25,5.0,4.75,4.25,4.5,2.0,1.75,1.75,1.5
Bowser,300 SL Roadster,GLA Tires GLA Wheels,4.25,2.75,3.5,2.75,3.0,4.5,4.75,4.5,4.75,2.25,2.0,2.25,2.25
Bowser,300 SL Roadster,Triforce Tires Triforce Tyres,4.5,2.5,3.75,3.0,2.5,4.75,5.0,4.5,4.25,1.75,1.5,2.0,2.0
Bowser,300 SL Roadster,Leaf Tires Leaf Tyres,3.75,3.0,3.25,2.25,3.25,4.25,4.5,4.5,4.5,2.25,2.0,2.5,2.0
Bowser,300 SL Roadster,Ancient Tires Ancient Tyres,4.75,2.25,3.75,3.25,2.75,4.5,4.5,4.5,4.25,1.5,1.5,1.5,1.75
Bowser,Blue Falcon,Standard Normal,3.75,2.5,3.0,2.75,2.75,4.75,4.5,4.75,4.75,2.0,2.25,2.75,1.75
Bowser,Blue Falcon,Monster,4.25,2.0,3.25,3.25,2.5,4.75,4.25,4.75,4.25,1.25,1.75,2.0,1.25
Bowser,Blue Falcon,Roller,3.25,3.0,2.5,2.5,3.25,4.25,4.5,4.25,4.75,2.25,2.5,3.0,2.0
Bowser,Blue Falcon,Slim,3.75,2.0,3.5,1.75,2.5,5.0,4.25,5.25,4.5,2.25,2.5,2.75,2.0
Bowser,Blue Falcon,Slick,4.0,1.75,3.5,1.5,2.0,5.25,3.75,5.25,4.0,1.75,1.5,2.5,1.25
Bowser,Blue Falcon,Metal,4.25,1.5,2.75,2.0,2.0,5.25,4.5,4.5,4.5,1.75,2.0,2.25,1.0
Bowser,Blue Falcon,Button,3.25,2.75,2.75,2.25,3.0,4.5,4.25,4.75,4.5,2.0,2.25,3.0,1.5
Bowser,Blue Falcon,Off-Road,4.0,2.25,3.25,3.0,2.25,5.0,4.75,4.75,4.25,1.5,1.75,2.5,1.5
Bowser,Blue Falcon,Sponge,3.5,2.5,3.0,3.0,3.0,4.5,4.0,4.5,5.0,1.75,1.75,2.5,1.75
Bowser,Blue Falcon,Wood Wooden,3.75,2.0,3.5,1.75,2.5,5.0,4.25,5.25,4.5,2.25,2.5,2.75,2.0
Bowser,Blue Falcon,Cushion,3.5,2.5,3.0,3.0,3.0,4.5,4.0,4.5,5.0,1.75,1.75,2.5,1.75
Bowser,Blue Falcon,Blue Standard Normal Blue,3.75,2.5,3.0,2.75,2.75,4.75,4.5,4.75,4.75,2.0,2.25,2.75,1.75
Bowser,Blue Falcon,Hot Monster Funky Monster,4.25,2.0,3.25,3.25,2.5,4.75,4.25,4.75,4.25,1.25,1.75,2.0,1.25
Bowser,Blue Falcon,Azure Roller,3.25,3.0,2.5,2.5,3.25,4.25,4.5,4.25,4.75,2.25,2.5,3.0,2.0
Bowser,Blue Falcon,Crimson Slim,3.75,2.0,3.5,1.75,2.5,5.0,4.25,5.25,4.5,2.25,2.5,2.75,2.0
Bowser,Blue Falcon,Cyber Slick,4.0,1.75,3.5,1.5,2.0,5.25,3.75,5.25,4.0,1.75,1.5,2.5,1.25
Bowser,Blue Falcon,Retro Off-Road,4.0,2.25,3.25,3.0,2.25,5.0,4.75,4.75,4.25,1.5,1.75,2.5,1.5
Bowser,Blue Falcon,Gold Tires Gold Wheels,4.25,1.5,2.75,2.0,2.0,5.25,4.5,4.5,4.5,1.75,2.0,2.25,1.0
Bowser,Blue Falcon,GLA Tires GLA Wheels,3.75,2.5,3.0,2.75,2.75,4.75,4.5,4.75,4.75,2.0,2.25,2.75,1.75
Bowser,Blue Falcon,Triforce Tires Triforce Tyres,4.0,2.25,3.25,3.0,2.25,5.0,4.75,4.75,4.25,1.5,1.75,2.5,1.5
Bowser,Blue Falcon,Leaf Tires Leaf Tyres,3.25,2.75,2.75,2.25,3.0,4.5,4.25,4.75,4.5,2.0,2.25,3.0,1.5
Bowser,Blue Falcon,Ancient Tires Ancient Tyres,4.25,2.0,3.25,3.25,2.5,4.75,4.25,4.75,4.25,1.25,1.75,2.0,1.25
Bowser,Tanooki Kart,Standard Normal,4.5,2.25,3.75,3.75,2.75,4.25,5.0,4.5,4.75,2.5,2.5,2.25,2.25
Bowser,Tanooki Kart,Monster,5.0,1.75,4.0,4.25,2.5,4.25,4.75,4.5,4.25,1.75,2.0,1.5,1.75
Bowser,Tanooki Kart,Roller,4.0,2.75,3.25,3.5,3.25,3.75,5.0,4.0,4.75,2.75,2.75,2.5,2.5
Bowser,Tanooki Kart,Slim,4.5,1.75,4.25,2.75,2.5,4.5,4.75,5.0,4.5,2.75,2.75,2.25,2.5
Bowser,Tanooki Kart,Slick,4.75,1.5,4.25,2.5,2.0,4.75,4.25,5.0,4.0,2.25,1.75,2.0,1.75
Bowser,Tanooki Kart,Metal,5.0,1.25,3.5,3.0,2.0,4.75,5.0,4.25,4.5,2.25,2.25,1.75,1.5
Bowser,Tanooki Kart,Button,4.0,2.5,3.5,3.25,3.0,4.0,4.75,4.5,4.5,2.5,2.5,2.5,2.0
Bowser,Tanooki Kart,Off-Road,4.75,2.0,4.0,4.0,2.25,4.5,5.25,4.5,4.25,2.0,2.0,2.0,2.0
Bowser,Tanooki Kart,Sponge,4.25,2.25,3.75,4.0,3.0,4.0,4.5,4.25,5.0,2.25,2.0,2.0,2.25
Bowser,Tanooki Kart,Wood Wooden,4.5,1.75,4.25,2.75,2.5,4.5,4.75,5.0,4.5,2.75,2.75,2.25,2.5
Bowser,Tanooki Kart,Cushion,4.25,2.25,3.75,4.0,3.0,4.0,4.5,4.25,5.0,2.25,2.0,2.0,2.25
Bowser,Tanooki Kart,Blue Standard Normal Blue,4.5,2.25,3.75,3.75,2.75,4.25,5.0,4.5,4.75,2.5,2.5,2.25,2.25
Bowser,Tanooki Kart,Hot Monster Funky Monster,5.0,1.75,4.0,4.25,2.5,4.25,4.75,4.5,4.25,1.75,2.0,1.5,1.75
Bowser,Tanooki Kart,Azure Roller,4.0,2.75,3.25,3.5,3.25,3.75,5.0,4.0,4.75,2.75,2.75,2.5,2.5
Bowser,Tanooki Kart,Crimson Slim,4.5,1.75,4.25,2.75,2.5,4.5,4.75,5.0,4.5,2.75,2.75,2.25,2.5
Bowser,Tanooki Kart,Cyber Slick,4.75,1.5,4.25,2.5,2.0,4.75,4.25,5.0,4.0,2.25,1.75,2.0,1.75
Bowser,Tanooki Kart,Retro Off-Road,4.75,2.0,4.0,4.0,2.25,4.5,5.25,4.5,4.25,2.0,2.0,2.0,2.0
Bowser,Tanooki Kart,Gold Tires Gold Wheels,5.0,1.25,3.5,3.0,2.0,4.75,5.0,4.25,4.5,2.25,2.25,1.75,1.5
Bowser,Tanooki Kart,GLA Tires GLA Wheels,4.5,2.25,3.75,3.75,2.75,4.25,5.0,4.5,4.75,2.5,2.5,2.25,2.25
Bowser,Tanooki Kart,Triforce Tires Triforce Tyres,4.75,2.0,4.0,4.0,2.25,4.5,5.25,4.5,4.25,2.0,2.0,2.0,2.0
Bowser,Tanooki Kart,Leaf Tires Leaf Tyres,4.0,2.5,3.5,3.25,3.0,4.0,4.75,4.5,4.5,2.5,2.5,2.5,2.0
Bowser,Tanooki Kart,Ancient Tires Ancient Tyres,5.0,1.75,4.0,4.25,2.5,4.25,4.75,4.5,4.25,1.75,2.0,1.5,1.75
Bowser,B Dasher,Standard Normal,4.5,2.0,3.5,2.25,2.25,5.0,4.25,4.75,4.5,1.75,1.75,2.0,1.5
Bowser,B Dasher,Monster,5.0,1.5,3.75,2.75,2.0,5.0,4.0,4.75,4.0,1.0,1.25,1.25,1.0
Bowser,B Dasher,Roller,4.0,2.5,3.0,2.0,2.75,4.5,4.25,4.25,4.5,2.0,2.0,2.25,1.75
Bowser,B Dasher,Slim,4.5,1.5,4.0,1.25,2.0,5.25,4.0,5.25,4.25,2.0,2.0,2.0,1.75
Bowser,B Dasher,Slick,4.75,1.25,4.0,1.0,1.5,5.5,3.5,5.25,3.75,1.5,1.0,1.75,1.0
Bowser,B Dasher,Metal,5.0,1.0,3.25,1.5,1.5,5.5,4.25,4.5,4.25,1.5,1.5,1.5,0.75
Bowser,B Dasher,Button,4.0,2.25,3.25,1.75,2.5,4.75,4.0,4.75,4.25,1.75,1.75,2.25,1.25
Bowser,B Dasher,Off-Road,4.75,1.75,3.75,2.5,1.75,5.25,4.5,4.75,4.0,1.25,1.25,1.75,1.25
Bowser,B Dasher,Sponge,4.25,2.0,3.5,2.5,2.5,4.75,3.75,4.5,4.75,1.5,1.25,1.75,1.5
Bowser,B Dasher,Wood Wooden,4.5,1.5,4.0,1.25,2.0,5.25,4.0,5.25,4.25,2.0,2.0,2.0,1.75
Bowser,B Dasher,Cushion,4.25,2.0,3.5,2.5,2.5,4.75,3.75,4.5,4.75,1.5,1.25,1.75,1.5
Bowser,B Dasher,Blue Standard Normal Blue,4.5,2.0,3.5,2.25,2.25,5.0,4.25,4.75,4.5,1.75,1.75,2.0,1.5
Bowser,B Dasher,Hot Monster Funky Monster,5.0,1.5,3.75,2.75,2.0,5.0,4.0,4.75,4.0,1.0,1.25,1.25,1.0
Bowser,B Dasher,Azure Roller,4.0,2.5,3.0,2.0,2.75,4.5,4.25,4.25,4.5,2.0,2.0,2.25,1.75
Bowser,B Dasher,Crimson Slim,4.5,1.5,4.0,1.25,2.0,5.25,4.0,5.25,4.25,2.0,2.0,2.0,1.75
Bowser,B Dasher,Cyber Slick,4.75,1.25,4.0,1.0,1.5,5.5,3.5,5.25,3.75,1.5,1.0,1.75,1.0
Bowser,B Dasher,Retro Off-Road,4.75,1.75,3.75,2.5,1.75,5.25,4.5,4.75,4.0,1.25,1.25,1.75,1.25
Bowser,B Dasher,Gold Tires Gold Wheels,5.0,1.0,3.25,1.5,1.5,5.5,4.25,4.5,4.25,1.5,1.5,1.5,0.75
Bowser,B Dasher,GLA Tires GLA Wheels,4.5,2.0,3.5,2.25,2.25,5.0,4.25,4.75,4.5,1.75,1.75,2.0,1.5
Bowser,B Dasher,Triforce Tires Triforce Tyres,4.75,1.75,3.75,2.5,1.75,5.25,4.5,4.75,4.0,1.25,1.25,1.75,1.25
Bowser,B Dasher,Leaf Tires Leaf Tyres,4.0,2.25,3.25,1.75,2.5,4.75,4.0,4.75,4.25,1.75,1.75,2.25,1.25
Bowser,B Dasher,Ancient Tires Ancient Tyres,5.0,1.5,3.75,2.75,2.0,5.0,4.0,4.75,4.0,1.0,1.25,1.25,1.0
Bowser,Master Cycle,Standard Normal,4.25,2.25,3.0,2.0,2.75,4.75,4.5,4.5,4.75,2.25,2.0,2.25,2.0
Bowser,Master Cycle,Monster,4.75,1.75,3.25,2.5,2.5,4.75,4.25,4.5,4.25,1.5,1.5,1.5,1.5
Bowser,Master Cycle,Roller,3.75,2.75,2.5,1.75,3.25,4.25,4.5,4.0,4.75,2.5,2.25,2.5,2.25
Bowser,Master Cycle,Slim,4.25,1.75,3.5,1.0,2.5,5.0,4.25,5.0,4.5,2.5,2.25,2.25,2.25
Bowser,Master Cycle,Slick,4.5,1.5,3.5,0.75,2.0,5.25,3.75,5.0,4.0,2.0,1.25,2.0,1.5
Bowser,Master Cycle,Metal,4.75,1.25,2.75,1.25,2.0,5.25,4.5,4.25,4.5,2.0,1.75,1.75,1.25
Bowser,Master Cycle,Button,3.75,2.5,2.75,1.5,3.0,4.5,4.25,4.5,4.5,2.25,2.0,2.5,1.75
Bowser,Master Cycle,Off-Road,4.5,2.0,3.25,2.25,2.25,5.0,4.75,4.5,4.25,1.75,1.5,2.0,1.75
Bowser,Master Cycle,Sponge,4.0,2.25,3.0,2.25,3.0,4.5,4.0,4.25,5.0,2.0,1.5,2.0,2.0
Bowser,Master Cycle,Wood Wooden,4.25,1.75,3.5,1.0,2.5,5.0,4.25,5.0,4.5,2.5,2.25,2.25,2.25
Bowser,Master Cycle,Cushion,4.0,2.25,3.0,2.25,3.0,4.5,4.0,4.25,5.0,2.0,1.5,2.0,2.0
Bowser,Master Cycle,Blue Standard Normal Blue,4.25,2.25,3.0,2.0,2.75,4.75,4.5,4.5,4.75,2.25,2.0,2.25,2.0
Bowser,Master Cycle,Hot Monster Funky Monster,4.75,1.75,3.25,2.5,2.5,4.75,4.25,4.5,4.25,1.5,1.5,1.5,1.5
Bowser,Master Cycle,Azure Roller,3.75,2.75,2.5,1.75,3.25,4.25,4.5,4.0,4.75,2.5,2.25,2.5,2.25
Bowser,Master Cycle,Crimson Slim,4.25,1.75,3.5,1.0,2.5,5.0,4.25,5.0,4.5,2.5,2.25,2.25,2.25
Bowser,Master Cycle,Cyber Slick,4.5,1.5,3.5,0.75,2.0,5.25,3.75,5.0,4.0,2.0,1.25,2.0,1.5
Bowser,Master Cycle,Retro Off-Road,4.5,2.0,3.25,2.25,2.25,5.0,4.75,4.5,4.25,1.75,1.5,2.0,1.75
Bowser,Master Cycle,Gold Tires Gold Wheels,4.75,1.25,2.75,1.25,2.0,5.25,4.5,4.25,4.5,2.0,1.75,1.75,1.25
Bowser,Master Cycle,GLA Tires GLA Wheels,4.25,2.25,3.0,2.0,2.75,4.75,4.5,4.5,4.75,2.25,2.0,2.25,2.0
Bowser,Master Cycle,Triforce Tires Triforce Tyres,4.5,2.0,3.25,2.25,2.25,5.0,4.75,4.5,4.25,1.75,1.5,2.0,1.75
Bowser,Master Cycle,Leaf Tires Leaf Tyres,3.75,2.5,2.75,1.5,3.0,4.5,4.25,4.5,4.5,2.25,2.0,2.5,1.75
Bowser,Master Cycle,Ancient Tires Ancient Tyres,4.75,1.75,3.25,2.5,2.5,4.75,4.25,4.5,4.25,1.5,1.5,1.5,1.5
Bowser,Streetle,Standard Normal,3.75,3.25,2.75,3.5,3.25,4.0,5.25,3.75,4.5,2.5,2.75,2.0,2.25
Bowser,Streetle,Monster,4.25,2.75,3.0,4.0,3.0,4.0,5.0,3.75,4.0,1.75,2.25,1.25,1.75
Bowser,Streetle,Roller,3.25,3.75,2.25,3.25,3.75,3.5,5.25,3.25,4.5,2.75,3.0,2.25,2.5
Bowser,Streetle,Slim,3.75,2.75,3.25,2.5,3.0,4.25,5.0,4.25,4.25,2.75,3.0,2.0,2.5
Bowser,Streetle,Slick,4.0,2.5,3.25,2.25,2.5,4.5,4.5,4.25,3.75,2.25,2.0,1.75,1.75
Bowser,Streetle,Metal,4.25,2.25,2.5,2.75,2.5,4.5,5.25,3.5,4.25,2.25,2.5,1.5,1.5
Bowser,Streetle,Button,3.25,3.5,2.5,3.0,3.5,3.75,5.0,3.75,4.25,2.5,2.75,2.25,2.0
Bowser,Streetle,Off-Road,4.0,3.0,3.0,3.75,2.75,4.25,5.5,3.75,4.0,2.0,2.25,1.75,2.0
Bowser,Streetle,Sponge,3.5,3.25,2.75,3.75,3.5,3.75,4.75,3.5,4.75,2.25,2.25,1.75,2.25
Bowser,Streetle,Wood Wooden,3.75,2.75,3.25,2.5,3.0,4.25,5.0,4.25,4.25,2.75,3.0,2.0,2.5
Bowser,Streetle,Cushion,3.5,3.25,2.75,3.75,3.5,3.75,4.75,3.5,4.75,2.25,2.25,1.75,2.25
Bowser,Streetle,Blue Standard Normal Blue,3.75,3.25,2.75,3.5,3.25,4.0,5.25,3.75,4.5,2.5,2.75,2.0,2.25
Bowser,Streetle,Hot Monster Funky Monster,4.25,2.75,3.0,4.0,3.0,4.0,5.0,3.75,4.0,1.75,2.25,1.25,1.75
Bowser,Streetle,Azure Roller,3.25,3.75,2.25,3.25,3.75,3.5,5.25,3.25,4.5,2.75,3.0,2.25,2.5
Bowser,Streetle,Crimson Slim,3.75,2.75,3.25,2.5,3.0,4.25,5.0,4.25,4.25,2.75,3.0,2.0,2.5
Bowser,Streetle,Cyber Slick,4.0,2.5,3.25,2.25,2.5,4.5,4.5,4.25,3.75,2.25,2.0,1.75,1.75
Bowser,Streetle,Retro Off-Road,4.0,3.0,3.0,3.75,2.75,4.25,5.5,3.75,4.0,2.0,2.25,1.75,2.0
Bowser,Streetle,Gold Tires Gold Wheels,4.25,2.25,2.5,2.75,2.5,4.5,5.25,3.5,4.25,2.25,2.5,1.5,1.5
Bowser,Streetle,GLA Tires GLA Wheels,3.75,3.25,2.75,3.5,3.25,4.0,5.25,3.75,4.5,2.5,2.75,2.0,2.25
Bowser,Streetle,Triforce Tires Triforce Tyres,4.0,3.0,3.0,3.75,2.75,4.25,5.5,3.75,4.0,2.0,2.25,1.75,2.0
Bowser,Streetle,Leaf Tires Leaf Tyres,3.25,3.5,2.5,3.0,3.5,3.75,5.0,3.75,4.25,2.5,2.75,2.25,2.0
Bowser,Streetle,Ancient Tires Ancient Tyres,4.25,2.75,3.0,4.0,3.0,4.0,5.0,3.75,4.0,1.75,2.25,1.25,1.75
Bowser,P-Wing,Standard Normal,4.5,2.0,3.5,2.25,2.25,5.0,4.25,4.75,4.5,1.75,1.75,2.0,1.5
Bowser,P-Wing,Monster,5.0,1.5,3.75,2.75,2.0,5.0,4.0,4.75,4.0,1.0,1.25,1.25,1.0
Bowser,P-Wing,Roller,4.0,2.5,3.0,2.0,2.75,4.5,4.25,4.25,4.5,2.0,2.0,2.25,1.75
Bowser,P-Wing,Slim,4.5,1.5,4.0,1.25,2.0,5.25,4.0,5.25,4.25,2.0,2.0,2.0,1.75
Bowser,P-Wing,Slick,4.75,1.25,4.0,1.0,1.5,5.5,3.5,5.25,3.75,1.5,1.0,1.75,1.0
Bowser,P-Wing,Metal,5.0,1.0,3.25,1.5,1.5,5.5,4.25,4.5,4.25,1.5,1.5,1.5,0.75
Bowser,P-Wing,Button,4.0,2.25,3.25,1.75,2.5,4.75,4.0,4.75,4.25,1.75,1.75,2.25,1.25
Bowser,P-Wing,Off-Road,4.75,1.75,3.75,2.5,1.75,5.25,4.5,4.75,4.0,1.25,1.25,1.75,1.25
Bowser,P-Wing,Sponge,4.25,2.0,3.5,2.5,2.5,4.75,3.75,4.5,4.75,1.5,1.25,1.75,1.5
Bowser,P-Wing,Wood Wooden,4.5,1.5,4.0,1.25,2.0,5.25,4.0,5.25,4.25,2.0,2.0,2.0,1.75
Bowser,P-Wing,Cushion,4.25,2.0,3.5,2.5,2.5,4.75,3.75,4.5,4.75,1.5,1.25,1.75,1.5
